197,-81.679,1027.208042,-81.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,-83.545,1027.218032,-83.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,-83.152,1027.228022,-83.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,-82.377,1027.238012,-82.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,-81.62,1027.248002,-81.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,-81.675,1027.257992,-81.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,-82.214,1027.267982,-82.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,-83.922,1027.277972,-83.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,-83.762,1027.287962,-83.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,-82.777,1027.297952,-82.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,-82.566,1027.307942,-82.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,-82.817,1027.317932,-82.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,-82.526,1027.327922,-82.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,-83.009,1027.337912,-83.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,-81.639,1027.347902,-81.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,-82.191,1027.357892,-82.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,-80.913,1027.367882,-80.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,-81.804,1027.377872,-81.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,-81.861,1027.387862,-81.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,-82.08,1027.397852,-82.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,-81.814,1027.407842,-81.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,-82.335,1027.417832,-82.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,-81.066,1027.427822,-81.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,-82.316,1027.437812,-82.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,-82.629,1027.447802,-82.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
