Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1e-08
Horizontal Delay,0.000945365
Sample Interval,2e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-3.54
,
,
,
Label,
TIME,CH4
9.444907e-04,0.03
9.444909e-04,0.03
9.444911e-04,0.03
9.444913e-04,0.03
9.444915e-04,0.01
9.444917e-04,0.01
9.444919e-04,0.03
9.444921e-04,0.05
9.444923e-04,0.05
9.444925e-04,0.01
9.444927e-04,0.01
9.444929e-04,0.05
9.444931e-04,0.01
9.444933e-04,-0.01
9.444935e-04,0.03
9.444937e-04,0.03
9.444939e-04,0.03
9.444941e-04,0.05
9.444943e-04,0.03
9.444945e-04,0.03
9.444947e-04,0.03
9.444949e-04,-0.01
9.444951e-04,0.03
9.444953e-04,0.01
9.444955e-04,0.01
9.444957e-04,0.05
9.444959e-04,-0.01
9.444961e-04,-0.01
9.444963e-04,0.01
9.444965e-04,0.03
9.444967e-04,0.01
9.444969e-04,0.03
9.444971e-04,0.03
9.444973e-04,0.01
9.444975e-04,0.01
9.444977e-04,-0.01
9.444979e-04,0.03
9.444981e-04,0.01
9.444983e-04,0.03
9.444985e-04,0.01
9.444987e-04,0.03
9.444989e-04,0.01
9.444991e-04,-0.01
9.444993e-04,0.01
9.444995e-04,0.01
9.444997e-04,0.01
9.444999e-04,0.03
9.445001e-04,0.03
9.445003e-04,0.01
9.445005e-04,-0.01
9.445007e-04,-0.01
9.445009e-04,0.01
9.445011e-04,-0.01
9.445013e-04,0.03
9.445015e-04,0.03
9.445017e-04,0.03
9.445019e-04,0.03
9.445021e-04,0.01
9.445023e-04,0.01
9.445025e-04,0.03
9.445027e-04,0.01
9.445029e-04,0.03
9.445031e-04,0.03
9.445033e-04,0.01
9.445035e-04,0.03
9.445037e-04,-0.01
9.445039e-04,-0.01
9.445041e-04,-0.01
9.445043e-04,0.03
9.445045e-04,0.03
9.445047e-04,0.03
9.445049e-04,0.01
9.445051e-04,0.01
9.445053e-04,0.03
9.445055e-04,0.05
9.445057e-04,0.05
9.445059e-04,0.01
9.445061e-04,0.03
9.445063e-04,0.03
9.445065e-04,0.01
9.445067e-04,0.03
9.445069e-04,0.03
9.445071e-04,0.03
9.445073e-04,-0.01
9.445075e-04,0.01
9.445077e-04,0.03
9.445079e-04,0.01
9.445081e-04,0.01
9.445083e-04,0.01
9.445085e-04,0.03
9.445087e-04,0.03
9.445089e-04,0.01
9.445091e-04,-0.01
9.445093e-04,0.01
9.445095e-04,0.01
9.445097e-04,0.03
9.445099e-04,0.05
9.445101e-04,-0.01
9.445103e-04,0.01
9.445105e-04,0.03
9.445107e-04,0.03
9.445109e-04,0.01
9.445111e-04,0.03
9.445113e-04,0.03
9.445115e-04,0.01
9.445117e-04,0.01
9.445119e-04,0.01
9.445121e-04,0.05
9.445123e-04,0.03
9.445125e-04,0.01
9.445127e-04,0.01
9.445129e-04,-0.03
9.445131e-04,0.03
9.445133e-04,0.03
9.445135e-04,0.03
9.445137e-04,0.01
9.445139e-04,0.03
9.445141e-04,0.03
9.445143e-04,0.03
9.445145e-04,0.05
9.445147e-04,0.03
9.445149e-04,0.05
9.445151e-04,0.05
9.445153e-04,0.03
9.445155e-04,0.03
9.445157e-04,0.03
9.445159e-04,0.01
9.445161e-04,0.01
9.445163e-04,0.01
9.445165e-04,0.01
9.445167e-04,-0.01
9.445169e-04,0.01
9.445171e-04,0.03
9.445173e-04,0.03
9.445175e-04,0.01
9.445177e-04,0.01
9.445179e-04,0.03
9.445181e-04,0.03
9.445183e-04,0.01
9.445185e-04,0.03
9.445187e-04,0.03
9.445189e-04,0.03
9.445191e-04,0.01
9.445193e-04,0.01
9.445195e-04,0.03
9.445197e-04,0.01
9.445199e-04,0.03
9.445201e-04,-0.03
9.445203e-04,-0.01
9.445205e-04,0.03
9.445207e-04,0.01
9.445209e-04,0.03
9.445211e-04,-0.01
9.445213e-04,0.01
9.445215e-04,0.01
9.445217e-04,0.01
9.445219e-04,-0.01
9.445221e-04,0.03
9.445223e-04,0.01
9.445225e-04,0.03
9.445227e-04,0.03
9.445229e-04,0.05
9.445231e-04,0.03
9.445233e-04,0.01
9.445235e-04,0.01
9.445237e-04,0.03
9.445239e-04,0.03
9.445241e-04,0.03
9.445243e-04,-0.01
9.445245e-04,0.01
9.445247e-04,0.01
9.445249e-04,0.01
9.445251e-04,-0.01
9.445253e-04,0.01
9.445255e-04,0.03
9.445257e-04,0.03
9.445259e-04,0.01
9.445261e-04,0.01
9.445263e-04,0.01
9.445265e-04,0.01
9.445267e-04,0.03
9.445269e-04,0.01
9.445271e-04,0.03
9.445273e-04,0.03
9.445275e-04,0.05
9.445277e-04,0.01
9.445279e-04,0.01
9.445281e-04,-0.01
9.445283e-04,0.03
9.445285e-04,0.03
9.445287e-04,0.03
9.445289e-04,0.03
9.445291e-04,0.01
9.445293e-04,0.03
9.445295e-04,0.01
9.445297e-04,0.01
9.445299e-04,0.01
9.445301e-04,0.03
9.445303e-04,0.03
9.445305e-04,0.03
9.445307e-04,0.01
9.445309e-04,0.03
9.445311e-04,0.03
9.445313e-04,0.01
9.445315e-04,0.03
9.445317e-04,0.01
9.445319e-04,0.03
9.445321e-04,0.01
9.445323e-04,0.03
9.445325e-04,0.03
9.445327e-04,0.01
9.445329e-04,0.01
9.445331e-04,0.01
9.445333e-04,0.01
9.445335e-04,-0.01
9.445337e-04,-0.01
9.445339e-04,0.03
9.445341e-04,0.01
9.445343e-04,0.03
9.445345e-04,0.03
9.445347e-04,0.01
9.445349e-04,0.03
9.445351e-04,0.03
