Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-08
Horizontal Delay,0.000945352
Sample Interval,2e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,-1.98
,
,
,
Label,
TIME,CH4
9.445006e-04,0.02
9.445008e-04,0.06
9.445010e-04,0.06
9.445012e-04,0.02
9.445014e-04,-0.02
9.445016e-04,0.06
9.445018e-04,0.1
9.445020e-04,0.02
9.445022e-04,0.06
9.445024e-04,0.02
9.445026e-04,0.02
9.445028e-04,0.06
9.445030e-04,0.06
9.445032e-04,0.06
9.445034e-04,0.06
9.445036e-04,0.02
9.445038e-04,0.06
9.445040e-04,0.02
9.445042e-04,-0.02
9.445044e-04,0.06
9.445046e-04,0.02
9.445048e-04,0.02
9.445050e-04,0.02
9.445052e-04,0.02
9.445054e-04,0.02
9.445056e-04,-0.02
9.445058e-04,-0.02
9.445060e-04,0.02
9.445062e-04,0.02
9.445064e-04,-0.02
9.445066e-04,0.02
9.445068e-04,0.02
9.445070e-04,0.02
9.445072e-04,0.02
9.445074e-04,0.02
9.445076e-04,0.02
9.445078e-04,-0.02
9.445080e-04,-0.02
9.445082e-04,0.02
9.445084e-04,-0.06
9.445086e-04,0.02
9.445088e-04,0.02
9.445090e-04,0.02
9.445092e-04,0.02
9.445094e-04,0.02
9.445096e-04,0.02
9.445098e-04,-0.02
9.445100e-04,-0.02
9.445102e-04,0.06
9.445104e-04,0.02
9.445106e-04,0.06
9.445108e-04,0.02
9.445110e-04,0.02
9.445112e-04,0.02
9.445114e-04,0.06
9.445116e-04,0.06
9.445118e-04,0.02
9.445120e-04,0.02
9.445122e-04,0.06
9.445124e-04,0.06
9.445126e-04,0.06
9.445128e-04,0.06
9.445130e-04,0.06
9.445132e-04,0.02
9.445134e-04,0.02
9.445136e-04,0.06
9.445138e-04,0.06
9.445140e-04,0.02
9.445142e-04,0.02
9.445144e-04,-0.02
9.445146e-04,0.02
9.445148e-04,0.06
9.445150e-04,0.06
9.445152e-04,0.06
9.445154e-04,0.02
9.445156e-04,0.02
9.445158e-04,0.06
9.445160e-04,0.06
9.445162e-04,0.02
9.445164e-04,0.02
9.445166e-04,0.02
9.445168e-04,0.02
