Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1e-05
Horizontal Delay,0.00096833
Sample Interval,1e-08
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-1.98
,
,
,
Label,
TIME,CH4
9.240000e-04,0.01
9.240100e-04,0.03
9.240200e-04,0.01
9.240300e-04,0.01
9.240400e-04,-0.01
9.240500e-04,0.01
9.240600e-04,-0.01
9.240700e-04,0.01
9.240800e-04,0.01
9.240900e-04,0.01
9.241000e-04,0.01
9.241100e-04,-0.01
9.241200e-04,0.01
9.241300e-04,0.01
9.241400e-04,0.03
9.241500e-04,0.01
9.241600e-04,0.03
9.241700e-04,0.01
9.241800e-04,0.01
9.241900e-04,0.01
9.242000e-04,0.01
9.242100e-04,0.01
9.242200e-04,-0.03
9.242300e-04,-0.01
9.242400e-04,0.03
9.242500e-04,0.03
9.242600e-04,0.01
9.242700e-04,0.01
9.242800e-04,0.03
9.242900e-04,0.01
9.243000e-04,0.01
9.243100e-04,0.03
9.243200e-04,0.03
9.243300e-04,0.01
9.243400e-04,0.01
9.243500e-04,0.01
9.243600e-04,0.03
9.243700e-04,0.01
9.243800e-04,0.01
9.243900e-04,-0.01
9.244000e-04,-0.01
9.244100e-04,0.01
9.244200e-04,0.03
9.244300e-04,0.03
9.244400e-04,0.03
9.244500e-04,0.01
9.244600e-04,0.01
9.244700e-04,0.01
9.244800e-04,0.03
9.244900e-04,-0.03
9.245000e-04,-0.01
9.245100e-04,0.03
9.245200e-04,0.03
9.245300e-04,0.01
9.245400e-04,0.03
9.245500e-04,0.01
9.245600e-04,0.01
9.245700e-04,-0.01
9.245800e-04,0.01
9.245900e-04,0.03
9.246000e-04,0.05
9.246100e-04,0.01
9.246200e-04,0.01
9.246300e-04,0.05
9.246400e-04,-0.01
9.246500e-04,0.01
9.246600e-04,0.03
9.246700e-04,0.01
9.246800e-04,0.01
9.246900e-04,0.01
9.247000e-04,0.03
9.247100e-04,0.01
9.247200e-04,0.03
9.247300e-04,0.01
9.247400e-04,0.01
9.247500e-04,0.01
9.247600e-04,0.03
9.247700e-04,0.01
9.247800e-04,0.01
9.247900e-04,0.03
9.248000e-04,0.03
9.248100e-04,0.01
9.248200e-04,0.01
9.248300e-04,0.01
9.248400e-04,0.03
9.248500e-04,0.01
9.248600e-04,0.01
9.248700e-04,-0.01
9.248800e-04,-0.01
9.248900e-04,0.01
9.249000e-04,0.01
9.249100e-04,0.01
9.249200e-04,-0.01
9.249300e-04,0.03
9.249400e-04,-0.01
9.249500e-04,0.01
9.249600e-04,0.03
9.249700e-04,0.03
9.249800e-04,0.03
9.249900e-04,-0.01
9.250000e-04,-0.01
9.250100e-04,0.01
9.250200e-04,0.05
9.250300e-04,0.01
9.250400e-04,-0.01
9.250500e-04,0.01
9.250600e-04,0.01
9.250700e-04,0.01
9.250800e-04,0.01
9.250900e-04,0.03
9.251000e-04,0.01
9.251100e-04,0.01
9.251200e-04,0.01
9.251300e-04,0.01
9.251400e-04,0.01
9.251500e-04,0.01
9.251600e-04,0.01
9.251700e-04,0.05
9.251800e-04,0.01
9.251900e-04,0.01
9.252000e-04,0.01
9.252100e-04,0.01
9.252200e-04,0.01
